PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B004-007,Male,Standard,,ANA_1011B004-007,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-007,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-020,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-020
ANA_1011B004-020,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-021,Male,Standard,,ANA_1011B004-021,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-021,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-029,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-029,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-400,Male,Standard,,ANA_1011B004-400,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-400,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-404,Male,Standard,,ANA_1011B004-404,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-404,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-407,Male,Standard,,ANA_1011B004-407,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-407,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B005-001,Male,Extra Wide,,ANA_1011B004-001,ANA_1011B006-001,ANA_1011B005-001
ANA_1011B005-001,Male,Extra Wide,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B006-020,Male,Wide,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-020
ANA_1011B006-020,Male,Wide,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B011-001,Male,Extra Wide,,ANA_1011B012-001,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B011-001,Male,Extra Wide,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-001,Male,Standard,,ANA_1011B012-001,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-001,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-002,Male,Standard,,ANA_1011B012-002,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-002,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-003,Male,Standard,,ANA_1011B012-003,ANA_1011B014-003,ANA_1011B011-001
ANA_1011B012-016,Male,Standard,,ANA_1011B012-016,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-017,Male,Standard,,ANA_1011B012-017,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-018,Male,Standard,,ANA_1011B012-018,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-018,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-020,Male,Standard,,ANA_1011B012-020,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-027,Male,Standard,,ANA_1011B012-027,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-030,Male,Standard,,ANA_1011B012-030,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-030,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-406,Male,Standard,,ANA_1011B012-406,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-408,Male,Standard,,ANA_1011B012-408,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-408,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-410,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-410,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-607,Male,Standard,,ANA_1011B012-607,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B012-607,Male,Standard,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B014-001,Male,Wide,,ANA_1011B012-001,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B014-001,Male,Wide,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B014-003,Male,Wide,,ANA_1011B012-003,ANA_1011B014-003,ANA_1011B011-001
